ID_Equipo,Area,Nombre_Equipo,Consumo_Mensual_kWh,Factor_de_potencia
001,Produccion,Centro_Mecanizado_CNC_5Ejes,4100.0,0.94
002,Produccion,Torno_Paralelo_Convencional,1200.0,0.82
003,Soldadura,Equipo_Soldadura_MIG_MAG_400A,1500.0,0.78
004,Tratamiento,Horno_Revenido_Electrico,8500.0,0.99
005,Corte,Cortadora_Laser_Fibra_4kW,5500.0,0.96
006,Planta,Compresor_Piston_Antiguo,1800.0,0.75
007,Logistica,Puente_Grua_Bimotor_5_Ton,750.0,0.87
008,Planta,Sistema_Iluminacion_Campanas_LED,800.0,0.97
009,Mantenimiento,Esmeril_Pedestal_Trifasico,250.0,0.83
010,Soldadura,Extractor_Humos_Centralizado,600.0,0.92
011,Recepcion,Aire_Acondicionado_Split_18000BTU,400.0,0.85
012,Recepcion,Pantalla_LED_Informativa_55in,60.0,0.98
013,Recepcion,Cortina_Aire_Puerta_Principal,180.0,0.84
014,Oficinas,Aire_Acondicionado_Central_Inverter,1200.0,0.96
015,Oficinas,Iluminacion_Fluorescente_Antigua,320.0,0.65
016,Oficinas,Servidor_Rack_Datos_Principal,950.0,0.98
017,Oficinas,UPS_Respaldo_Servidores_10kVA,200.0,0.95
018,Oficinas,Computadoras_Ingenieria_CAD,450.0,0.94
019,Oficinas,Fotocopiadora_Industrial_Planos,250.0,0.89
020,Oficinas,Microondas_Heladera_Comedor,265.0,0.81
